condition,blue_mode,red_agent,episodes,reward_mean,reward_std,impact_episode_rate,unique_new_session_hosts_mean,unique_new_session_hosts_std,unique_privileged_hosts_mean,unique_privileged_hosts_std,successful_exploit_hosts_mean,successful_exploit_hosts_std,unique_impacted_hosts_mean,unique_impacted_hosts_std,successful_impact_count_mean,successful_impact_count_std,first_successful_impact_step_mean,first_successful_impact_step_std,ordered_chain_completions_mean,ordered_chain_completions_std,ExploitRemoteService_completed,ExploitRemoteService_succeeded,ExploitRemoteService_success_rate,PrivilegeEscalate_completed,PrivilegeEscalate_succeeded,PrivilegeEscalate_success_rate,Impact_completed,Impact_succeeded,Impact_success_rate
sleep__default,sleep,default,30,-6840.133333333333,1583.7758834156077,1.0,67.6,7.851114570556208,53.766666666666666,6.656742613487638,49.96666666666667,6.300705427877809,17.966666666666665,3.9028479629909008,17.966666666666665,3.9028479629909008,51.6,29.448938860339265,16.1,3.9610604640676716,6470,1652,0.2553323029366306,1613,1613,1.0,10810,539,0.049861239592969474
reactive__default,reactive,default,30,-6560.733333333334,1418.9285378607183,1.0,65.9,7.100938905055678,51.333333333333336,5.274677451960662,47.56666666666667,5.672643906406332,17.433333333333334,2.848196310337864,17.433333333333334,2.848196310337864,44.733333333333334,24.361080070929166,15.4,2.8589042189855425,7032,1546,0.21985210466439134,1540,1540,1.0,10381,523,0.05038050284173008
layerchain__default,layerchain,default,30,-3120.9,656.8410436830716,1.0,63.766666666666666,7.017517763109371,34.96666666666667,6.112737157407928,44.36666666666667,5.694929518635171,8.266666666666667,2.3935097428021654,8.266666666666667,2.3935097428021654,56.2,34.120765915592614,6.3,2.3825756371344577,8723,2434,0.2790324429668692,1258,1142,0.9077901430842608,5327,248,0.046555284400225265
sleep__chain,sleep,chain,30,-7012.333333333333,1593.0061798024792,1.0,66.56666666666666,6.571064517175957,52.333333333333336,5.729068180971686,48.63333333333333,5.504442650158951,16.966666666666665,3.628437067878614,16.966666666666665,3.628437067878614,33.733333333333334,24.61156006613333,15.166666666666666,3.777859476240775,7475,1645,0.22006688963210702,1570,1570,1.0,6951,509,0.07322687383110343
reactive__chain,reactive,chain,30,-6584.466666666666,1381.9705673019555,1.0,65.3,6.82226746275264,50.8,6.4673539153711594,46.46666666666667,6.264893366122754,15.7,2.8769196489764304,15.7,2.8769196489764304,37.666666666666664,25.04972831966225,13.8,2.8448784391135824,8425,1570,0.18635014836795252,1524,1524,1.0,6197,471,0.07600451831531387
layerchain__chain,layerchain,chain,30,-4014.2,917.8857009453847,1.0,61.6,6.681317235396026,36.9,5.2367292591209385,39.3,4.390520090680222,7.8,1.7962924780409972,7.8,1.7962924780409972,29.733333333333334,17.631285325302358,5.866666666666666,1.6679994670929073,8405,2162,0.25722784057108866,1618,1396,0.8627935723114957,4341,234,0.05390463026952315
